"Time","Temperature"
2025-08-14 19:00:00,23.0 °C
2025-08-15 01:00:00,22.3 °C
2025-08-15 07:00:00,22.4 °C
2025-08-15 13:00:00,22.8 °C
2025-08-15 19:00:00,22.6 °C
2025-08-16 01:00:00,22.0 °C
2025-08-16 07:00:00,22.1 °C
2025-08-16 13:00:00,22.7 °C
2025-08-16 19:00:00,22.7 °C
2025-08-17 01:00:00,22.1 °C
2025-08-17 07:00:00,22.3 °C
2025-08-17 13:00:00,22.7 °C
2025-08-17 19:00:00,22.6 °C
2025-08-18 01:00:00,21.9 °C
2025-08-18 07:00:00,22.4 °C
2025-08-18 13:00:00,22.8 °C
2025-08-18 19:00:00,22.7 °C
2025-08-19 01:00:00,22.1 °C
2025-08-19 07:00:00,22.3 °C
2025-08-19 13:00:00,22.7 °C
2025-08-19 19:00:00,22.2 °C
2025-08-20 01:00:00,21.8 °C
2025-08-20 07:00:00,22.0 °C
2025-08-20 13:00:00,22.1 °C
2025-08-20 19:00:00,21.7 °C
2025-08-21 01:00:00,21.4 °C
2025-08-21 07:00:00,21.5 °C
2025-08-21 13:00:00,21.8 °C
2025-08-21 19:00:00,21.7 °C
2025-08-22 01:00:00,21.4 °C
2025-08-22 07:00:00,21.9 °C
2025-08-22 13:00:00,22.3 °C
2025-08-22 19:00:00,21.9 °C
2025-08-23 01:00:00,21.4 °C
2025-08-23 07:00:00,21.6 °C
2025-08-23 13:00:00,22.0 °C
2025-08-23 19:00:00,21.9 °C
2025-08-24 01:00:00,21.4 °C
2025-08-24 07:00:00,21.6 °C
2025-08-24 13:00:00,22.1 °C
2025-08-24 19:00:00,22.0 °C
2025-08-25 01:00:00,21.5 °C
2025-08-25 07:00:00,22.0 °C
2025-08-25 13:00:00,22.6 °C
2025-08-25 19:00:00,22.4 °C
2025-08-26 01:00:00,21.7 °C
2025-08-26 07:00:00,22.2 °C
2025-08-26 13:00:00,23.1 °C
2025-08-26 19:00:00,22.7 °C
2025-08-27 01:00:00,22.0 °C
2025-08-27 07:00:00,22.2 °C
2025-08-27 13:00:00,22.6 °C
2025-08-27 19:00:00,22.4 °C
2025-08-28 01:00:00,22.0 °C
2025-08-28 07:00:00,22.1 °C
2025-08-28 13:00:00,22.5 °C
2025-08-28 19:00:00,21.9 °C
2025-08-29 01:00:00,21.4 °C
2025-08-29 07:00:00,21.5 °C
2025-08-29 13:00:00,22.0 °C
2025-08-29 19:00:00,21.6 °C
2025-08-30 01:00:00,21.2 °C
2025-08-30 07:00:00,21.4 °C
2025-08-30 13:00:00,21.8 °C
2025-08-30 19:00:00,21.6 °C
2025-08-31 01:00:00,21.2 °C
2025-08-31 07:00:00,21.4 °C
2025-08-31 13:00:00,22.0 °C
2025-08-31 19:00:00,22.0 °C
2025-09-01 01:00:00,21.7 °C
2025-09-01 07:00:00,21.9 °C
2025-09-01 13:00:00,21.7 °C
2025-09-01 19:00:00,21.4 °C
2025-09-02 01:00:00,21.2 °C
2025-09-02 07:00:00,21.3 °C
2025-09-02 13:00:00,21.9 °C
2025-09-02 19:00:00,21.6 °C
2025-09-03 01:00:00,21.4 °C
2025-09-03 07:00:00,21.5 °C
2025-09-03 13:00:00,22.2 °C
2025-09-03 19:00:00,
2025-09-04 01:00:00,
2025-09-04 07:00:00,
2025-09-04 13:00:00,
2025-09-04 19:00:00,
2025-09-05 01:00:00,
2025-09-05 07:00:00,
2025-09-05 13:00:00,
2025-09-05 19:00:00,
2025-09-06 01:00:00,
2025-09-06 07:00:00,
2025-09-06 13:00:00,
2025-09-06 19:00:00,
2025-09-07 01:00:00,
2025-09-07 07:00:00,
2025-09-07 13:00:00,
2025-09-07 19:00:00,
2025-09-08 01:00:00,
2025-09-08 07:00:00,
2025-09-08 13:00:00,
2025-09-08 19:00:00,
2025-09-09 01:00:00,
2025-09-09 07:00:00,
2025-09-09 13:00:00,
2025-09-09 19:00:00,
2025-09-10 01:00:00,
2025-09-10 07:00:00,
2025-09-10 13:00:00,
2025-09-10 19:00:00,
2025-09-11 01:00:00,
2025-09-11 07:00:00,
2025-09-11 13:00:00,
2025-09-11 19:00:00,
2025-09-12 01:00:00,
2025-09-12 07:00:00,
2025-09-12 13:00:00,22.1 °C
2025-09-12 19:00:00,21.7 °C
2025-09-13 01:00:00,21.4 °C
2025-09-13 07:00:00,21.3 °C
2025-09-13 13:00:00,21.3 °C
2025-09-13 19:00:00,21.3 °C
2025-09-14 01:00:00,21.2 °C
2025-09-14 07:00:00,21.3 °C
2025-09-14 13:00:00,21.4 °C
2025-09-14 19:00:00,21.5 °C
2025-09-15 01:00:00,21.4 °C
2025-09-15 07:00:00,21.5 °C
2025-09-15 13:00:00,22.0 °C
2025-09-15 19:00:00,21.8 °C
2025-09-16 01:00:00,21.5 °C
2025-09-16 07:00:00,21.4 °C
2025-09-16 13:00:00,21.7 °C
2025-09-16 19:00:00,21.5 °C
2025-09-17 01:00:00,21.3 °C
2025-09-17 07:00:00,21.3 °C
2025-09-17 13:00:00,21.9 °C
2025-09-17 19:00:00,21.7 °C
2025-09-18 01:00:00,21.3 °C
2025-09-18 07:00:00,21.3 °C
2025-09-18 13:00:00,21.9 °C
2025-09-18 19:00:00,21.8 °C
2025-09-19 01:00:00,21.3 °C
2025-09-19 07:00:00,21.4 °C
2025-09-19 13:00:00,21.9 °C
2025-09-19 19:00:00,22.0 °C
2025-09-20 01:00:00,21.6 °C
2025-09-20 07:00:00,21.6 °C
2025-09-20 13:00:00,22.0 °C
2025-09-20 19:00:00,22.1 °C
2025-09-21 01:00:00,21.7 °C
2025-09-21 07:00:00,21.6 °C
2025-09-21 13:00:00,21.5 °C
2025-09-21 19:00:00,21.5 °C
2025-09-22 01:00:00,21.3 °C
2025-09-22 07:00:00,21.2 °C
2025-09-22 13:00:00,21.2 °C
2025-09-22 19:00:00,21.1 °C
2025-09-23 01:00:00,20.5 °C
2025-09-23 07:00:00,20.5 °C
2025-09-23 13:00:00,21.0 °C
2025-09-23 19:00:00,21.0 °C
2025-09-24 01:00:00,20.9 °C
2025-09-24 07:00:00,20.8 °C
2025-09-24 13:00:00,20.8 °C
2025-09-24 19:00:00,20.9 °C
2025-09-25 01:00:00,20.8 °C
2025-09-25 07:00:00,21.1 °C
2025-09-25 13:00:00,21.3 °C
2025-09-25 19:00:00,21.1 °C
2025-09-26 01:00:00,20.9 °C
2025-09-26 07:00:00,21.1 °C
2025-09-26 13:00:00,20.9 °C
2025-09-26 19:00:00,20.8 °C
2025-09-27 01:00:00,20.7 °C
2025-09-27 07:00:00,20.7 °C
2025-09-27 13:00:00,21.0 °C
2025-09-27 19:00:00,21.0 °C
2025-09-28 01:00:00,20.6 °C
2025-09-28 07:00:00,20.7 °C
2025-09-28 13:00:00,20.8 °C
2025-09-28 19:00:00,20.9 °C
2025-09-29 01:00:00,20.6 °C
